,bid,ask,last,openinterest,type,expiration,strike,underlying,underlying_last,quotedate,implied_vol,delta,gamma,vega,theta,rho,ticker,event_date,day_to_event
2016-02-19,,,237.1,0.0,put,2016-05-19,4975,AS51,4952.795999999999,2016-02-19,0.21347195190639237,-0.5154487817647778,0.0007504319483764762,9.689528885794974,-1.330109729170742,-6.879483282401419,AS51 05-19-16 P4975 Index,2016-03-16,26
2016-02-22,191.0,217.0,201.2,0.0,put,2016-05-19,4975,AS51,5001.224,2016-02-22,0.20538152224385453,-0.47998843407168756,0.0007865032395673394,9.63032371098393,-1.307933952716479,-6.201383063823327,AS51 05-19-16 P4975 Index,2016-03-16,23
2016-02-23,199.0,221.0,209.1,0.0,put,2016-05-19,4975,AS51,4979.588,2016-02-23,0.20395904150778282,-0.4973458674208717,0.0008006756594314305,9.540958320998334,-1.3079409478594486,-6.3278977024722325,AS51 05-19-16 P4975 Index,2016-03-16,22
2016-02-24,254.0,289.0,270.8,0.0,put,2016-05-19,4975,AS51,4875.019,2016-02-24,0.2112209907084736,-0.5774863032480402,0.0007769833203926635,9.08296117346018,-1.3276613243914686,-7.186707384898258,AS51 05-19-16 P4975 Index,2016-03-16,21
2016-02-25,267.0,279.0,273.3,0.0,put,2016-05-19,4975,AS51,4881.1759999999995,2016-02-25,0.21934934632094577,-0.5688218615388266,0.0007551716666583682,9.082750571943684,-1.381976529132285,-7.0187629583771525,AS51 05-19-16 P4975 Index,2016-03-16,20
2016-02-26,248.0,261.0,256.5,0.0,put,2016-05-19,4975,AS51,4879.958,2016-02-26,0.20144842168294996,-0.5802619537084093,0.0008225970269653902,8.973635004801706,-1.2900365745322486,-7.022377505120095,AS51 05-19-16 P4975 Index,2016-03-16,19
2016-02-29,231.0,253.0,242.2,0.0,put,2016-05-19,4975,AS51,4880.9259999999995,2016-02-29,0.1902637123328038,-0.5880172326422968,0.0008833375995464346,8.775750190589726,-1.2481924724863076,-6.821410628497172,AS51 05-19-16 P4975 Index,2016-03-16,16
2016-03-01,225.0,238.0,229.0,0.0,put,2016-05-19,4975,AS51,4922.252,2016-03-01,0.2032177942577428,-0.5457540015630055,0.0008419878183385119,8.972830348705857,-1.345491116016911,-6.309911214532031,AS51 05-19-16 P4975 Index,2016-03-16,15
2016-03-02,162.0,177.0,167.3,60.0,put,2016-05-19,4975,AS51,5021.23,2016-03-02,0.19178726744202917,-0.46270429507055755,0.0008845646043606198,9.140528280383508,-1.290766914082162,-5.322473578846483,AS51 05-19-16 P4975 Index,2016-03-16,14
2016-03-03,129.0,141.0,136.3,60.0,put,2016-05-19,4975,AS51,5081.12,2016-03-03,0.1877975267987442,-0.40881624719637844,0.0008799845334575274,9.000811606908067,-1.2475867706484982,-4.669669029219003,AS51 05-19-16 P4975 Index,2016-03-16,13
2016-03-04,123.0,129.0,127.3,60.0,put,2016-05-19,4975,AS51,5090.025,2016-03-04,0.18314005506925007,-0.39878456126019685,0.0009012653248237149,8.904233936423182,-1.219671825284442,-4.491544585440026,AS51 05-19-16 P4975 Index,2016-03-16,12
2016-03-07,100.0,114.0,107.8,70.0,put,2016-05-19,4975,AS51,5142.814,2016-03-07,0.1876994887494093,-0.35189017362237607,0.0008547262651878544,8.486366234755884,-1.2221974190783313,-3.8350114227351724,AS51 05-19-16 P4975 Index,2016-03-16,9
2016-03-08,114.0,127.0,122.0,698.0,put,2016-05-19,4975,AS51,5107.96,2016-03-08,0.19080218574977725,-0.3826528294209992,0.0008759790621229731,8.602242444754458,-1.281223392160015,-4.0962582178901,AS51 05-19-16 P4975 Index,2016-03-16,8
2016-03-09,100.0,105.0,102.2,698.0,put,2016-05-19,4975,AS51,5157.192,2016-03-09,0.18987246752512044,-0.3388458404321708,0.0008427407400922045,8.278431670651766,-1.2336944136882195,-3.5980330707730093,AS51 05-19-16 P4975 Index,2016-03-16,7
2016-03-10,100.0,105.0,101.1,698.0,put,2016-05-19,4975,AS51,5150.073,2016-03-10,0.1870966908161689,-0.342088581701228,0.0008656856658143715,8.238692208333859,-1.2289125690812723,-3.57264881577932,AS51 05-19-16 P4975 Index,2016-03-16,6
2016-03-11,86.0,98.0,95.0,698.0,put,2016-05-19,4975,AS51,5166.393,2016-03-11,0.18781733284773916,-0.32737467303208156,0.0008512980886921511,8.06767569389689,-1.2208821617440988,-3.3769284690407195,AS51 05-19-16 P4975 Index,2016-03-16,5
2016-03-14,88.0,93.0,91.8,698.0,put,2016-05-19,4975,AS51,5185.458,2016-03-14,0.1962105394129653,-0.3135120588146383,0.0008156045933089351,7.780854743640313,-1.2746632295239133,-3.1056229723142805,AS51 05-19-16 P4975 Index,2016-03-16,2
2016-03-15,105.0,119.0,112.8,698.0,put,2016-05-19,4975,AS51,5111.424,2016-03-15,0.19233707319578414,-0.3739237899360548,0.0009081684420752975,8.127064703741928,-1.341004741044928,-3.604531430500194,AS51 05-19-16 P4975 Index,2016-03-16,1
2016-03-16,96.0,102.0,100.5,698.0,put,2016-05-19,4975,AS51,5119.027,2016-03-16,0.18215842998755669,-0.36066033762739813,0.0009537691652991648,7.982786281424977,-1.270321509071537,-3.4134443943342756,AS51 05-19-16 P4975 Index,2016-03-16,0
2016-03-17,70.0,77.0,73.8,1238.0,put,2016-05-19,4975,AS51,5168.153,2016-03-17,0.17033839243124593,-0.3038660050734456,0.0009520213652812049,7.476143840926126,-1.1254753188882436,-2.8379791331576887,AS51 05-19-16 P4975 Index,2016-03-16,-1
2016-03-18,68.0,82.0,74.7,1238.0,put,2016-05-19,4975,AS51,5183.124,2016-03-18,0.17916028437369488,-0.29624136951981067,0.0008995284822873438,7.354255013621887,-1.1746764346029952,-2.735059085845533,AS51 05-19-16 P4975 Index,2016-03-16,-2
2016-03-21,64.0,68.0,66.3,1238.0,put,2016-05-19,4975,AS51,5166.568,2016-03-21,0.16554990037220443,-0.29446652973595117,0.000998580311284653,7.133051660271913,-1.112188220961282,-2.5663890308680553,AS51 05-19-16 P4975 Index,2016-03-16,-5
2016-03-22,61.0,66.0,63.1,1238.0,put,2016-05-19,4975,AS51,5166.623,2016-03-22,0.1626095716702592,-0.2897498198336827,0.0010177996338158082,7.02032262758507,-1.093877940724649,-2.479107639373056,AS51 05-19-16 P4975 Index,2016-03-16,-6
2016-03-23,71.0,75.0,71.0,1313.0,put,2016-05-19,4975,AS51,5142.266,2016-03-23,0.1649404834229092,-0.3155106818213947,0.0010563049413459258,7.1946163781410615,-1.159784951005113,-2.644549905499113,AS51 05-19-16 P4975 Index,2016-03-16,-7
2016-03-24,81.0,95.0,87.0,1313.0,put,2016-05-19,4975,AS51,5084.207,2016-03-24,0.16108280913442055,-0.37612376801886455,0.0011775584585107873,7.522692019963974,-1.2218486744979502,-3.0674055144318273,AS51 05-19-16 P4975 Index,2016-03-16,-8
2016-03-29,115.0,129.0,123.9,1290.0,put,2016-05-19,4975,AS51,5004.516,2016-03-29,0.1741329776367331,-0.47135629892569564,0.0012144992724361645,7.400818629960825,-1.4352431317142225,-3.4691319759834465,AS51 05-19-16 P4975 Index,2016-03-16,-13
2016-03-30,109.0,123.0,119.1,1245.0,put,2016-05-19,4975,AS51,5010.268,2016-03-30,0.1732187255490967,-0.4638664454445274,0.0012300570179961665,7.326880965851124,-1.4385457727897972,-3.346842750526659,AS51 05-19-16 P4975 Index,2016-03-16,-14
2016-03-31,78.0,92.0,85.0,1270.0,put,2016-05-19,4975,AS51,5082.785,2016-03-31,0.1699905768121437,-0.3737360718245791,0.0011915838106495644,7.0251586493493825,-1.3576291392375932,-2.6642845175785146,AS51 05-19-16 P4975 Index,2016-03-16,-15
2016-04-01,119.0,133.0,125.8,1292.0,put,2016-05-19,4975,AS51,4999.385,2016-04-01,0.17947314370548997,-0.4763958156468685,0.0012171952953772271,7.180278240617931,-1.515772167563127,-3.2975159602950828,AS51 05-19-16 P4975 Index,2016-03-16,-16
2016-04-04,112.0,126.0,116.2,1292.0,put,2016-05-19,4975,AS51,4995.319,2016-04-04,0.16950475423815894,-0.480862672255942,0.0013332934034373332,6.952703645429113,-1.484868655268972,-3.1047071216435502,AS51 05-19-16 P4975 Index,2016-03-16,-19
2016-04-05,148.0,166.0,156.2,1266.0,put,2016-05-19,4975,AS51,4924.385,2016-04-05,0.17552334843146802,-0.5729052135196091,0.0012980914937484969,6.660456724202112,-1.533551274999872,-3.589201560400588,AS51 05-19-16 P4975 Index,2016-03-16,-20
2016-04-06,131.0,149.0,141.1,1266.0,put,2016-05-19,4975,AS51,4945.912,2016-04-06,0.17325701906470647,-0.5461834023816627,0.0013389936996688644,6.685559102755427,-1.5436469567662612,-3.348669229965278,AS51 05-19-16 P4975 Index,2016-03-16,-21
2016-04-07,122.0,134.0,128.8,1266.0,put,2016-05-19,4975,AS51,4964.079000000001,2016-04-07,0.17169467454948886,-0.5223821077041901,0.001370021024742325,6.66987740678935,-1.552511092495502,-3.1321023050647825,AS51 05-19-16 P4975 Index,2016-03-16,-22
2016-04-08,137.0,148.0,146.2,1267.0,put,2016-05-19,4975,AS51,4937.617,2016-04-08,0.17885428899807554,-0.5557703158312608,0.0013265861692964198,6.497714360428924,-1.616992651469777,-3.2467292970218065,AS51 05-19-16 P4975 Index,2016-03-16,-23
2016-04-11,140.0,152.0,148.9,1267.0,put,2016-05-19,4975,AS51,4931.532,2016-04-11,0.1856196410120557,-0.5626425696905737,0.001326345475521064,6.233544036963715,-1.72437109920564,-3.043737364538882,AS51 05-19-16 P4975 Index,2016-03-16,-26
2016-04-12,111.0,125.0,118.8,1267.0,put,2016-05-19,4975,AS51,4975.646,2016-04-12,0.1779502028668196,-0.5051035549521308,0.0014084829514878201,6.290104927092162,-1.6962579929006172,-2.6680715030954505,AS51 05-19-16 P4975 Index,2016-03-16,-27
