,bid,ask,last,openinterest,type,expiration,strike,underlying,underlying_last,quotedate,implied_vol,delta,gamma,vega,theta,rho,ticker,event_date,day_to_event
2015-11-23,740.0,790.0,772.2,0.0,put,2016-02-18,6050,AS51,5276.422,2015-11-23,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,23
2015-11-24,793.0,808.0,823.0,0.0,put,2016-02-18,6050,AS51,5226.389,2015-11-24,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,22
2015-11-25,818.0,881.0,847.4,0.0,put,2016-02-18,6050,AS51,5193.681,2015-11-25,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,21
2015-11-26,771.0,836.0,829.7,0.0,put,2016-02-18,6050,AS51,5210.697,2015-11-26,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,20
2015-11-27,786.0,851.0,847.4,0.0,put,2016-02-18,6050,AS51,5202.584,2015-11-27,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,19
2015-11-30,842.0,907.0,868.0,0.0,put,2016-02-18,6050,AS51,5166.518,2015-11-30,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,16
2015-12-01,745.0,810.0,792.0,0.0,put,2016-02-18,6050,AS51,5266.139,2015-12-01,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,15
2015-12-02,762.0,827.0,780.9,0.0,put,2016-02-18,6050,AS51,5258.339,2015-12-02,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,14
2015-12-03,816.0,829.0,823.8,0.0,put,2016-02-18,6050,AS51,5227.717000000001,2015-12-03,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,13
2015-12-04,882.0,947.0,899.6,0.0,put,2016-02-18,6050,AS51,5151.607,2015-12-04,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,12
2015-12-07,862.0,927.0,908.6,0.0,put,2016-02-18,6050,AS51,5155.697,2015-12-07,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,9
2015-12-08,936.0,949.0,945.8,0.0,put,2016-02-18,6050,AS51,5108.605,2015-12-08,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,8
2015-12-09,930.0,995.0,978.3,0.0,put,2016-02-18,6050,AS51,5080.4529999999995,2015-12-09,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,7
2015-12-10,1019.0,1099.0,1020.3,0.0,put,2016-02-18,6050,AS51,5037.717000000001,2015-12-10,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,6
2015-12-11,1000.0,1080.0,1039.8,0.0,put,2016-02-18,6050,AS51,5029.45,2015-12-11,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,5
2015-12-14,1079.0,1092.0,1137.1,0.0,put,2016-02-18,6050,AS51,4928.598,2015-12-14,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,2
2015-12-15,1073.0,1153.0,1151.4,0.0,put,2016-02-18,6050,AS51,4909.555,2015-12-15,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,1
2015-12-16,1037.0,1067.0,1035.1,0.0,put,2016-02-18,6050,AS51,5028.447,2015-12-16,,,,,,,AS51 02-18-16 P6050 Index,2015-12-16,0
